URLLength,DomainLength,IsDomainIP,TLDLength,NoOfSubDomain,NoOfLettersInURL,LetterRatioInURL,NoOfDigitsInURL,DigitRatioInURL,NoOfEqualsInURL,NoOfQMarkInURL,NoOfAmpersandInURL,NoOfOtherSpecialCharsInURL,SpecialCharRatioInURL,HasObfuscation,NoOfObfuscatedChar,ObfuscationRatio,IsHTTPS,Bank,Pay,Crypto,SuspiciousWords,URLDepth,AvgTokenLength,label
113,88,0,3,3,100,0.885,3,0.027,0,0,0,0,0.0,1,1,0.011,1,0,0,0,1,1,11.444,0
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
20,8,0,3,1,15,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.75,1
22,12,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.25,0
82,29,0,2,3,43,0.524,27,0.329,1,1,0,0,0.0,1,6,0.188,0,0,0,0,0,1,6.364,0
20,4,0,2,1,15,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,3.75,0
45,33,0,2,3,38,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,7.6,0
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
44,3,0,4,1,38,0.864,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,7.6,0
31,19,0,3,1,22,0.71,4,0.129,0,0,0,0,0.0,1,2,0.087,1,0,0,0,0,0,6.5,1
27,14,0,3,2,21,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
23,12,0,2,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
25,14,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
21,11,0,2,1,15,0.714,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.0,0
27,16,0,2,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
21,10,0,3,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.0,0
35,13,0,3,2,28,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,2,2,4.667,0
32,20,0,3,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
27,16,0,2,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,1,0,0,0,4.75,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
26,15,0,2,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
43,31,0,3,1,38,0.884,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,9.5,1
26,15,0,3,1,20,0.769,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.0,0
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
27,16,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.5,0
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
27,16,0,2,3,20,0.741,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.333,1
22,11,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.25,0
35,13,0,2,2,26,0.743,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,3,3.714,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
23,12,0,2,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
21,10,0,2,1,16,0.762,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.0,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
23,12,0,3,1,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.4,0
40,28,0,3,1,35,0.875,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.75,1
46,33,0,3,2,38,0.826,1,0.022,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.8,0
27,15,0,3,1,21,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.2,1
43,32,0,2,1,37,0.86,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.4,1
41,30,0,3,1,36,0.878,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,9.0,0
63,40,0,3,4,42,0.667,10,0.159,0,0,0,0,0.0,1,5,0.114,1,0,0,0,0,1,5.2,0
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
103,26,0,2,2,87,0.845,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,1,6,5.8,0
35,22,0,3,1,26,0.743,4,0.114,0,0,0,0,0.0,1,1,0.038,1,0,0,0,0,0,10.0,0
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
21,10,0,3,1,14,0.667,2,0.095,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.0,0
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
48,35,0,3,2,30,0.625,10,0.208,0,0,0,0,0.0,1,5,0.128,1,0,0,0,0,0,6.667,0
25,14,0,2,2,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.8,1
32,21,0,2,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
215,48,0,3,3,145,0.674,40,0.186,1,1,1,0,0.0,0,0,0.0,0,0,0,0,3,1,12.312,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
475,10,1,2,3,312,0.657,105,0.221,10,1,9,0,0.0,1,2,0.154,0,0,0,0,4,3,10.286,0
28,17,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.75,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
33,20,0,5,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,7.0,0
32,20,0,3,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
24,13,0,2,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
26,14,0,3,1,18,0.692,3,0.115,0,0,0,0,0.0,1,1,0.056,1,0,0,0,0,0,5.25,1
25,14,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.0,0
25,15,0,2,1,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.8,0
35,24,0,2,2,27,0.771,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.5,0
28,16,0,3,1,22,0.786,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.4,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
26,15,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.25,0
29,18,0,2,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
45,32,0,3,2,36,0.8,3,0.067,0,0,0,0,0.0,1,1,0.028,1,0,0,0,0,0,9.75,0
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
18,8,0,2,1,13,0.722,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.25,0
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
32,2,0,2,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,1,1,6.75,0
35,22,0,3,2,29,0.829,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.25,0
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
71,19,0,3,1,52,0.732,12,0.169,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,10.667,0
42,31,0,3,2,35,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,1,0,0,5.833,0
25,14,0,2,2,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.8,1
32,21,0,2,2,26,0.812,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.2,1
33,22,0,3,2,26,0.788,1,0.03,0,0,0,0,0.0,1,1,0.038,0,0,0,0,0,0,5.4,0
24,13,0,2,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
28,16,0,3,1,20,0.714,3,0.107,0,0,0,0,0.0,1,3,0.15,1,0,0,0,0,0,5.75,1
38,26,0,3,1,33,0.868,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.25,1
33,14,0,3,2,22,0.667,4,0.121,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,4.333,0
42,29,0,3,2,35,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,0
87,44,0,3,2,64,0.736,7,0.08,0,1,0,0,0.0,1,2,0.042,1,0,0,0,0,1,5.462,0
30,18,0,2,2,19,0.633,4,0.133,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.6,0
36,11,0,3,2,28,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.667,0
19,7,0,3,1,14,0.737,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.5,1
18,7,0,2,1,13,0.722,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.25,1
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
60,8,0,2,1,50,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,5,5.556,0
22,11,0,2,2,16,0.727,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.2,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
32,21,0,2,1,27,0.844,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.75,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
34,22,0,3,1,28,0.824,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.6,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
24,14,0,2,2,18,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.6,0
26,15,0,2,3,19,0.731,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.167,1
23,5,0,2,1,17,0.739,1,0.043,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,4.5,0
24,13,0,3,1,20,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.667,0
30,19,0,3,2,24,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.8,0
30,18,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.25,1
26,15,0,2,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
37,26,0,2,1,30,0.811,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
18,8,0,2,1,13,0.722,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.25,0
30,19,0,2,2,24,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.8,1
23,11,0,3,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
35,24,0,3,1,30,0.857,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,7.5,0
85,4,0,2,1,70,0.824,6,0.071,1,1,0,0,0.0,0,0,0.0,1,0,0,0,0,2,9.5,0
37,25,0,3,1,32,0.865,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.0,1
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
29,17,0,3,1,24,0.828,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.0,1
27,16,0,3,2,20,0.741,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.333,0
39,27,0,3,1,34,0.872,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.5,1
30,19,0,2,1,24,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.8,1
33,22,0,3,2,27,0.818,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.4,0
23,12,0,2,2,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.4,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
33,22,0,2,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
29,17,0,3,1,23,0.793,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.6,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
19,8,0,2,1,14,0.737,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.5,1
34,21,0,3,2,21,0.618,6,0.176,0,0,0,0,0.0,1,3,0.12,1,0,0,0,0,0,5.4,0
39,28,0,3,3,31,0.795,1,0.026,0,0,0,0,0.0,1,1,0.031,0,0,0,0,1,0,5.333,0
22,10,0,3,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
28,17,0,2,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
38,22,0,2,2,31,0.816,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,6.2,0
33,23,0,2,2,27,0.818,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.4,0
28,17,0,2,1,22,0.786,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.4,1
19,7,0,3,1,11,0.579,3,0.158,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.667,0
31,20,0,2,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
21,10,0,3,1,12,0.571,4,0.19,0,0,0,0,0.0,1,2,0.143,0,0,0,0,0,0,4.0,0
49,36,0,3,3,28,0.571,12,0.245,0,0,0,0,0.0,1,5,0.125,1,0,0,0,0,0,5.714,0
85,72,0,3,3,65,0.765,12,0.141,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,12.833,0
36,24,0,2,2,25,0.694,4,0.111,0,0,0,0,0.0,1,1,0.037,1,0,0,0,0,0,5.8,0
39,26,0,3,2,32,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.4,0
26,15,0,2,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
37,25,0,3,1,32,0.865,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,8.0,1
33,21,0,3,1,27,0.818,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.4,1
57,38,0,3,2,34,0.596,13,0.228,0,0,0,0,0.0,1,3,0.071,0,0,0,0,0,2,5.875,0
23,13,0,2,2,17,0.739,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.4,0
103,76,0,2,3,80,0.777,13,0.126,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,11.625,0
30,19,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.25,0
27,16,0,2,2,21,0.778,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.2,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
58,12,0,3,1,49,0.845,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,3,6.125,0
35,23,0,3,1,30,0.857,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.5,1
24,13,0,2,2,18,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.6,1
37,8,0,3,1,21,0.568,9,0.243,0,0,0,0,0.0,1,2,0.167,1,0,0,0,0,3,5.0,0
27,15,0,3,1,22,0.815,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.5,1
30,18,0,4,1,24,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.8,0
92,15,0,3,1,79,0.859,6,0.065,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,2,14.167,0
89,75,0,4,3,72,0.809,10,0.112,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,16.4,0
26,14,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.25,1
25,15,0,2,2,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,3.8,0
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
26,15,0,3,1,21,0.808,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,5.25,0
46,33,0,3,2,39,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,1,0,0,0,0,7.8,0
34,23,0,2,2,28,0.824,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.6,1
22,11,0,2,1,17,0.773,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.25,1
24,12,0,3,2,18,0.75,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.6,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
25,14,0,2,2,19,0.76,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.8,1
24,12,0,3,1,19,0.792,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.75,1
37,24,0,3,2,28,0.757,3,0.081,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.75,0
41,15,0,3,1,30,0.732,5,0.122,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,1,7.0,0
31,19,0,3,1,26,0.839,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.5,1
43,31,0,3,1,38,0.884,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,9.5,1
25,14,0,2,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
33,21,0,3,1,28,0.848,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,7.0,1
178,53,0,3,2,125,0.702,22,0.124,3,1,1,0,0.0,1,2,0.035,0,0,0,0,1,2,5.069,0
36,7,0,2,1,28,0.778,1,0.028,0,0,0,0,0.0,0,0,0.0,1,0,0,0,1,2,4.833,0
18,7,0,2,1,13,0.722,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,3.25,1
30,19,0,3,1,25,0.833,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,6.25,0
23,12,0,2,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
28,18,0,2,2,22,0.786,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,4.4,0
39,26,0,3,2,32,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,6.4,0
28,16,0,3,1,23,0.821,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.75,1
25,13,0,3,1,20,0.8,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,5.0,1
34,22,0,3,1,25,0.735,4,0.118,0,0,0,0,0.0,1,2,0.077,1,0,0,0,0,0,7.25,1
34,21,0,3,2,26,0.765,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.333,0
37,11,0,2,1,31,0.838,0,0.0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,1,7.75,0
23,12,0,2,1,18,0.783,0,0.0,0,0,0,0,0.0,0,0,0.0,1,0,0,0,0,0,4.5,1
